,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U111,INVX2,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1,U112,MUX21X1,0.375,0.2083333333333333,0.13671875,0.25,0.0625,0.015625,4,6,8
2,U113,MUX21X1,0.2265625,0.0667631578947368,0.10184375,0.140625,0.0115,0.0458,8,19,16
3,U114,OA21X1,0.1497395833333333,0.0721028645833333,0.1244673295454545,0.15234375,0.056640625,0.140625,9,12,11
4,U115,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
5,U116,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
6,U117,AO22X1,0.2604166666666667,0.09453125,0.0876736111111111,0.1875,0.0859375,0.09375,6,10,9
7,U118,MUX21X1,0.1423611111111111,0.12329,0.1276315789473684,0.0625,0.0839999999999999,0.0588,9,20,19
8,U119,AO22X1,0.1671006944444444,0.1484375,0.1484375,0.19140625,0.1015625,0.1015625,9,10,10
9,U120,NAND2X0,0.325,0.11370625,0.08884,0.375,0.03765,0.0196,5,16,20
10,U121,MUX21X1,0.1785714285714285,0.0878473684210526,0.081045,0.0625,0.0459,0.0175,7,19,20
11,U122,NAND2X0,0.1354166666666666,0.033114346590909,0.033114346590909,0.09375,0.0068359375,0.0068359375,6,11,11
12,U123,OAI22X1,0.171875,0.1002604166666666,0.1002604166666666,0.046875,0.02734375,0.02734375,7,9,9
13,U124,OAI22X1,0.1358506944444444,0.13061875,0.12972,0.05078125,0.09235,0.0616,9,16,15
14,U125,OA21X1,0.3125,0.2875,0.2375,0.125,0.1875,0.1875,4,5,5
15,U126,NOR2X0,0.0729166666666666,0.1434151785714285,0.1334333333333333,0.09375,0.078125,0.0201,6,14,15
16,U127,NOR2X0,0.2604166666666667,0.1083420973557692,0.1013263157894736,0.28125,0.035888671875,0.0057,6,13,19
17,U128,OA22X1,0.15234375,0.0924499999999999,0.0864947368421052,0.0546875,0.0223,0.0142,8,16,19
18,U129,NOR2X0,0.0078125,0.0105,0.0098947368421052,0.0078125,0.00695,0.0086,8,18,19
19,U130,NAND4X0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,5,5,5
20,U131,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
21,U132,NAND4X0,0.1338704427083333,0.1526925223214285,0.13862,0.08203125,0.087890625,0.0746,12,14,15
22,U133,NAND3X0,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
23,U134,AO21X1,0.1875,0.25,0.25,0.09375,0.125,0.125,8,6,6
24,U135,MUX41X1,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4
25,U136,NAND3X0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,5,5,5
26,U137,MUX21X1,0.275,0.142578125,0.118075284090909,0.25,0.0703125,0.0625,5,10,11
27,U138,NAND2X0,0.2375,0.1875,0.1875,0.0625,0.03125,0.03125,5,6,6
28,U139,NAND4X0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,5,5,5
29,U140,AND2X1,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
30,U141,NAND2X0,0.25,0.125,0.125,0.25,0.125,0.125,3,4,4
31,U142,OAI21X1,0.25,0.2395833333333333,0.1875,0.1875,0.15625,0.09375,6,6,7
32,U143,NOR3X0,0.25,0.0625,0.0625,0.25,0.0625,0.0625,3,5,5
33,U144,MUX21X1,0.375,0.2083333333333333,0.13671875,0.25,0.0625,0.015625,4,6,8
34,U145,AND2X1,0.25,0.03125,0.03125,0.25,0.03125,0.03125,3,6,6
35,U146,MUX21X1,0.2265625,0.0672210526315789,0.1019125,0.140625,0.0118,0.0422,8,19,16
36,U147,OA21X1,0.1497395833333333,0.0721028645833333,0.1244673295454545,0.15234375,0.056640625,0.140625,9,12,11
37,U148,AOI221X1,0.068359375,0.173828125,0.173828125,0.0546875,0.171875,0.171875,8,8,8
38,U149,NAND2X0,0.4166666666666667,0.375,0.375,0.25,0.375,0.375,3,4,4
