,GATE_NAME,GATE_TYPE,INF-LIM2_MEAN,INF-LIM4_MEAN,INF-LIM2_NORM_MEAN,INF-LIM4_NORM_MEAN,INF-LIM2_MEDIAN,INF-LIM4_MEDIAN,INF-LIM2_NORM_MEDIAN,INF-LIM4_NORM_MEDIAN,INF-LIM2_SIZE,INF-LIM4_SIZE
0,U83,INVX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,U84,MUX21X1,0.3846153846153847,0.0,0.27777777777777785,0.0,0.5,0.0,0.3333333333333333,0.0,2,0
2,U85,NOR2X0,0.33333333333333337,0.0,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,1,0
3,U86,AO22X1,0.22807017543859656,0.0,0.18571428571428578,0.0,0.1111111111111111,0.0,0.1,0.0,2,0
4,U87,NAND2X0,0.2857142857142857,0.0,0.4,0.0,0.3333333333333333,0.0,0.5,0.0,0,0
5,U88,MUX21X1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,U89,NAND2X0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,U90,AO21X1,0.125,0.0,0.14285714285714285,0.0,0.4,0.0,0.6666666666666666,0.0,0,0
8,U91,NOR4X0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,U92,AO22X1,0.6363636363636368,0.2545454545454548,0.38888888888888906,0.20289855072463783,1.4,1.0,0.5833333333333334,0.5,2,1
10,U93,AO21X1,0.31578947368421056,0.0,0.24000000000000005,0.0,1.0,0.0,0.5,0.0,1,0
11,U94,AO21X1,0.6648648648648653,0.2612612612612612,0.3993506493506495,0.20714285714285713,3.0,1.0,0.75,0.5,2,1
12,U95,MUX21X1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.5,0.0,1,0
13,U96,MUX21X1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.5,0.0,1,0
14,U97,MUX21X1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.5,0.0,1,0
15,U98,MUX21X1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.5,0.0,1,0
16,U99,MUX21X1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.5,0.0,1,0
17,U100,MUX21X1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.5,0.0,1,0
18,U101,MUX21X1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.5,0.0,1,0
19,U102,MUX21X1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.5,0.0,1,0
20,U103,OA21X1,2.3601697769992627,0.4430827820774116,0.7023959899749377,0.307039060808116,4.3418803418803416,0.032902644230769204,0.8128,0.03185454545454543,16,7
21,U104,NOR3X0,1.1692350409551562,0.19975262832405832,0.5390079999999997,0.24961360123647827,3.1555851063829787,0.42021276595744683,0.75936,0.724770642201835,13,-2
22,U105,NOR2X0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1,0
23,U106,MUX21X1,1.7428571428571429,0.20816326530612222,0.6354166666666666,0.17229729729729715,15.0,1.0,0.9375,0.5,4,1
24,U107,AO222X1,2.0760979303382143,0.4090863200403832,0.6749128205128206,0.29032026939886774,23.12683823529412,0.7205882352941178,0.9585523809523809,0.41880341880341887,13,6
25,U108,NOR2X0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
26,U109,MUX21X1,1.7428571428571429,0.20816326530612222,0.6354166666666666,0.17229729729729715,15.0,1.0,0.9375,0.5,4,1
27,U110,AO221X1,3.532739328636555,0.7753229037159836,0.7793828571428574,0.4367221884498482,34.51136363636364,1.6633522727272725,0.97184,0.6245333333333333,16,9
28,U111,INVX0,3.8402710551790897,0.40103845815365735,0.7934,0.6695562738759938,5.561679790026281,0.6430446194225703,0.8476000000000008,1.8014705882352795,16,-2
29,U112,MUX21X1,1.7428571428571429,0.20816326530612222,0.6354166666666666,0.17229729729729715,15.0,1.0,0.9375,0.5,4,1
30,U113,AO22X1,3.5241663544398674,0.6372205269908064,0.7789648033126295,0.3892087330238956,266.85714285714283,11.555803571428573,0.9962666666666666,0.9203555555555556,16,8
31,U114,NOR2X0,2.9172673143215295,0.1718184667103541,0.74472,0.20746474028208353,6.142857142857142,0.44000000000000006,0.86,0.7857142857142859,15,-2
32,U115,NAND4X0,1.0043472063854049,0.11187127834790568,0.5010844444444444,0.12596291012839114,0.78912213740458,0.17048346055979655,0.44106666666666666,0.20552147239263818,9,-4
33,U116,OA221X1,0.3898492453732159,0.1140856078368892,0.2804975047984645,0.1287772372207768,0.4057388222464558,0.10250817884405676,0.288630303030303,0.11421628189550433,4,-2
34,U117,OA222X1,0.2994763939734263,0.0,0.23045927987788475,0.0,0.6859504132231405,0.0,0.4068627450980392,0.0,3,0
35,U118,NOR4X0,0.5555555555555566,0.0,0.3571428571428576,0.0,0.2,0.0,0.16666666666666666,0.0,1,0
36,U119,MUX21X1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
37,U120,NAND3X0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
