,BENCHMARK,MEAN_INF-LIM2_NORM_FP_RATE,MEAN_INF-LIM2_NORM_DETECTED_TROJ,MEAN_INF-LIM4_NORM_FP_RATE,MEAN_INF-LIM4_NORM_DETECTED_TROJ,MEDIAN_INF-LIM2_NORM_FP_RATE,MEDIAN_INF-LIM2_NORM_DETECTED_TROJ,MEDIAN_INF-LIM4_NORM_FP_RATE,MEDIAN_INF-LIM4_NORM_DETECTED_TROJ
60,"c880
(for >= 0.8)",16.666666666666664,no trojan,0.641025641025641,no trojan,57.05128205128205,no trojan,16.025641025641026,no trojan
61,"c880
(for >= 0.9)",0.641025641025641,no trojan,0.0,no trojan,25.0,no trojan,3.8461538461538463,no trojan
62,"c880
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
63,"s35932-T100_scan_free
(for >= 0.8)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
64,"s35932-T100_scan_free
(for >= 0.9)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
65,"s35932-T100_scan_free
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
66,"s35932-T100_scan_in
(for >= 0.8)",0.0,yes,0.0,no,0.0,yes,0.0,no
67,"s35932-T100_scan_in
(for >= 0.9)",0.0,yes,0.0,no,0.0,yes,0.0,no
68,"s35932-T100_scan_in
(for >= 1)",0.0,yes,0.0,no,0.0,yes,0.0,no
69,"s35932-T200_scan_free
(for >= 0.8)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
70,"s35932-T200_scan_free
(for >= 0.9)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
71,"s35932-T200_scan_free
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
72,"s35932-T200_scan_in
(for >= 0.8)",0.0,yes,0.0,no,0.06664445184938354,yes,0.06664445184938354,yes
73,"s35932-T200_scan_in
(for >= 0.9)",0.0,yes,0.0,no,0.06664445184938354,yes,0.06664445184938354,yes
74,"s35932-T200_scan_in
(for >= 1)",0.0,yes,0.0,no,0.0,yes,0.0,yes
75,"s35932-T300_scan_free
(for >= 0.8)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
76,"s35932-T300_scan_free
(for >= 0.9)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
77,"s35932-T300_scan_free
(for >= 1)",0.0,no trojan,0.0,no trojan,0.0,no trojan,0.0,no trojan
78,"s35932-T300_scan_in
(for >= 0.8)",0.0,yes,0.0,yes,0.0,yes,0.0,yes
79,"s35932-T300_scan_in
(for >= 0.9)",0.0,yes,0.0,yes,0.0,yes,0.0,yes
80,"s35932-T300_scan_in
(for >= 1)",0.0,yes,0.0,yes,0.0,yes,0.0,yes
