,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U305,AND2X4,0.4166666666666667,0.0333333333333333,0.0303030303030303,0.25,0.0,0.0,3,30,33
1,U303,AND2X4,0.4166666666666667,0.0333333333333333,0.0303030303030303,0.25,0.0,0.0,3,30,33
2,U302,ISOLORX8,0.0078125,0.0,0.0,0.0078125,0.0,0.0,8,34,32
3,U301,OR4X4,1.875e-05,0.0,0.0,0.0,0.0,0.0,16,17,17
4,U300,NAND4X1,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3
5,U299,NAND4X1,0.0625,0.0133167613636363,0.0161946614583333,0.0625,0.017578125,0.02587890625,6,11,12
6,U298,NAND4X1,0.0625,0.0126201923076923,0.01464375,0.0625,0.017578125,0.0083,8,13,16
7,U297,NAND4X1,0.0625,0.00390625,0.00390625,0.0625,0.00390625,0.00390625,5,9,9
8,U296,OR4X4,0.000244140625,0.0002266666666666,0.0,0.000244140625,0.0002,0.0,13,15,15
9,U295,NAND4X1,0.125,0.1041666666666666,0.1041666666666666,0.125,0.125,0.125,5,6,6
10,U294,NAND4X1,0.0625,0.0424360795454545,0.03984375,0.0625,0.017578125,0.044921875,6,11,10
11,U293,NAND4X1,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
12,U230,XOR2X2,0.6666666666666666,0.4375,0.4375,0.5,0.25,0.25,3,4,4
13,U229,NOR2X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
14,U228,XOR2X2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,3,3,3
15,U227,XOR2X2,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
16,U226,XOR2X2,0.6666666666666666,0.4375,0.4375,0.5,0.25,0.25,3,4,4
17,U225,NOR2X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
18,U224,XOR2X2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,3,3,3
19,U223,XOR2X2,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
20,U222,XOR2X2,0.6666666666666666,0.4375,0.4375,0.5,0.25,0.25,3,4,4
21,U221,NOR2X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
22,U220,XOR2X2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,3,3,3
23,U219,XOR2X2,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
24,U218,XOR2X2,0.6666666666666666,0.4375,0.4375,0.5,0.25,0.25,3,4,4
25,U217,NOR2X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
26,U216,XOR2X2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,3,3,3
27,U215,XOR2X2,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
28,U214,INVX32,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
29,U213,NAND2X4,0.21875,0.1002604166666666,0.1002604166666666,0.21875,0.02734375,0.02734375,6,9,9
30,U212,NAND2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
31,U211,NAND2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
32,U210,NAND2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
33,U209,NAND2X4,0.1770833333333333,0.0625,0.0625,0.03125,0.0625,0.0625,6,8,8
34,U208,NAND2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
35,U207,NAND2X4,0.15625,0.1866319444444444,0.1351207386363636,0.09375,0.1953125,0.099609375,6,9,11
36,U206,NAND2X4,0.5,0.3125,0.1770833333333333,0.5,0.25,0.15625,2,4,6
37,U205,NAND2X4,0.2625,0.325,0.2276785714285714,0.1875,0.375,0.125,5,5,7
38,U204,NAND2X4,0.1808035714285714,0.1437174479166666,0.1043178013392857,0.140625,0.107421875,0.042236328125,7,12,14
39,U202,INVX32,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
40,U201,NAND2X4,0.1770833333333333,0.1770833333333333,0.1770833333333333,0.03125,0.03125,0.03125,6,6,6
41,U138,NAND4X1,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
42,U137,INVX32,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
43,U135,AOI21X2,0.4166666666666667,0.1875,0.1875,0.25,0.03125,0.03125,3,6,6
44,U132,NAND4X1,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
45,U131,INVX32,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
46,U129,AOI21X2,0.4166666666666667,0.1875,0.1875,0.25,0.03125,0.03125,3,6,6
47,U128,AND2X4,0.15625,0.108203125,0.108203125,0.09375,0.013671875,0.013671875,6,10,10
48,U127,AND2X4,0.25,0.0870535714285714,0.07734375,0.25,0.046875,0.013671875,3,7,10
49,U126,AND2X4,0.25,0.09375,0.0913529829545454,0.25,0.09375,0.0146484375,4,8,11
50,U125,AND2X4,0.25,0.0833333333333333,0.083740234375,0.25,0.0703125,0.0146484375,4,9,12
51,U124,AND2X4,0.25,0.071484375,0.078857421875,0.25,0.046875,0.03759765625,4,10,12
52,U123,NOR2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
53,U120,NOR2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
54,U118,NAND4X1,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,6,6,6
55,U117,AOI22X2,0.375,0.171875,0.171875,0.375,0.046875,0.046875,4,7,7
56,U116,NAND4X1,0.127734375,0.0901333333333333,0.0901533333333333,0.134765625,0.0172,0.0174,10,15,15
57,U114,AOI21X2,0.1875,0.1875,0.1875,0.03125,0.03125,0.03125,6,6,6
58,U113,ISOLORX8,0.3125,0.1852678571428571,0.1852678571428571,0.25,0.015625,0.015625,4,7,7
59,U112,NAND3X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
60,U111,NOR2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
61,U109,NAND4X1,0.169921875,0.14306640625,0.14306640625,0.1640625,0.056640625,0.056640625,8,12,12
62,U108,AND2X4,0.25,0.03125,0.03125,0.25,0.03125,0.03125,3,6,6
63,U107,NAND3X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
64,U106,OAI21X2,0.375,0.375,0.375,0.375,0.375,0.375,4,4,4
65,U102,NAND3X4,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
66,U101,NOR2X4,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
67,U100,NOR2X4,0.4166666666666667,0.2375,0.2375,0.25,0.0625,0.0625,3,5,5
68,U99,INVX32,0.5,0.2375,0.2375,0.5,0.0625,0.0625,2,5,5
69,U97,NOR2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
70,U96,INVX32,0.5,0.125,0.125,0.5,0.125,0.125,2,4,4
71,U95,NOR2X4,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
72,U94,NOR2X4,0.125,0.125,0.125,0.125,0.125,0.125,4,4,4
73,U93,INVX32,0.5,0.125,0.125,0.5,0.125,0.125,2,4,4
74,U92,AOI22X2,0.2375,0.169921875,0.169921875,0.1875,0.0390625,0.0390625,5,8,8
75,U91,OAI21X2,0.28125,0.2433035714285714,0.18359375,0.28125,0.203125,0.05078125,6,7,9
76,U90,AND2X4,0.3125,0.1495535714285714,0.1401909722222222,0.25,0.171875,0.12890625,4,7,9
77,U89,AND2X4,0.375,0.16796875,0.1922743055555555,0.375,0.171875,0.12109375,5,8,9
