,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U153,NAND3X0,0.094921875,0.0596103448275862,0.057047619047619,0.0703125,0.0326,0.0141,10,29,42
1,U154,OA221X1,0.1290108816964285,0.0920689655172413,0.0688657894736842,0.0794677734375,0.0416,0.01805,14,29,38
2,U155,NAND3X0,0.1453993055555555,0.2109375,0.075130303030303,0.08984375,0.125,0.0189,9,12,33
3,U156,AO221X1,0.126953125,0.0846578947368421,0.077528125,0.1171875,0.0479,0.02135,8,19,32
4,U157,AO21X1,0.2083333333333333,0.1400669642857142,0.0536,0.15625,0.115234375,0.0163999999999999,6,14,32
5,U158,NAND2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
6,U159,MUX21X1,0.3,0.181640625,0.0957,0.25,0.05859375,0.015,5,11,19
7,U160,NAND2X0,0.4166666666666667,0.129296875,0.0747444444444444,0.25,0.029296875,0.0068,3,10,18
8,U161,NAND2X0,0.11865234375,0.085445,0.0538795454545454,0.11865234375,0.0487999999999999,0.00985,12,20,44
9,U162,OA222X1,0.2946428571428571,0.1460705882352941,0.0702594594594594,0.28125,0.0689,0.014,7,17,37
10,U163,XOR2X1,0.35,0.3004807692307692,0.1093764705882353,0.25,0.1875,0.02655,5,13,34
11,U164,NAND2X0,1.0,0.2413194444444444,0.1336058823529411,1.0,0.1171875,0.022,2,9,17
12,U165,AOI222X1,0.1734375,0.0718115384615384,0.0645666666666666,0.19921875,0.02215,0.0075499999999999,10,26,24
13,U166,AO221X1,0.1082938058035714,0.10131875,0.0521155555555555,0.1351318359375,0.089,0.0072,14,16,45
14,U167,AO222X1,0.248046875,0.1304947368421052,0.0611651162790697,0.25,0.0937,0.0091,8,19,43
15,U168,AO21X1,0.1897321428571428,0.0652695652173913,0.0467714285714285,0.046875,0.0275,0.0129,7,23,21
16,U169,XOR2X1,0.4166666666666667,0.26626,0.1013527777777777,0.25,0.1896,0.018,6,15,36
17,U170,AOI21X1,0.3854166666666667,0.2413194444444444,0.1392117647058823,0.1875,0.1171875,0.0329,6,9,17
18,U171,NAND2X0,0.11865234375,0.0864761904761904,0.0613825,0.11865234375,0.0702,0.0212,12,21,40
19,U172,OA222X1,0.2330729166666666,0.16998,0.0858060606060606,0.15234375,0.1356,0.027,9,15,33
20,U173,XOR2X1,0.45,0.2647533333333333,0.1395,0.5,0.1881,0.0615,5,15,30
21,U174,AO21X1,0.4166666666666667,0.3854166666666667,0.1332666666666666,0.25,0.1875,0.03245,3,6,18
22,U175,AOI222X1,0.1734375,0.0680814814814814,0.063784,0.19921875,0.0199,0.0125,10,27,25
23,U176,AO22X1,0.174609375,0.1281733333333333,0.0541444444444444,0.080078125,0.0967,0.0121,10,15,36
24,U177,INVX0,0.5,0.0846354166666666,0.0816176470588235,0.5,0.05859375,0.0161,2,9,17
25,U178,NOR2X0,0.15625,0.09,0.0820705882352941,0.09375,0.0312,0.0161,6,16,17
26,U179,AO21X1,0.1770833333333333,0.1455078125,0.0572205882352941,0.15625,0.09375,0.01385,6,13,34
27,U180,INVX0,0.5,0.1566840277777778,0.053835294117647,0.5,0.05859375,0.0113,2,9,17
28,U181,NAND2X0,0.2291666666666666,0.0967266666666666,0.0522411764705882,0.09375,0.032,0.0098,6,15,17
29,U182,OR2X1,0.15625,0.09576,0.0782470588235294,0.09375,0.0315,0.01,6,15,17
30,U183,AO221X1,0.146484375,0.078375,0.0775875,0.1171875,0.01985,0.01995,8,16,16
31,U184,AO21X1,0.21875,0.0260416666666666,0.0260416666666666,0.09375,0.01513671875,0.01513671875,6,12,12
32,U185,NAND3X0,0.2625,0.1846590909090909,0.065021875,0.1875,0.125,0.0208,5,11,32
33,U186,NAND2X0,0.4166666666666667,0.118896484375,0.0437238095238095,0.25,0.062255859375,0.0123,3,13,21
34,U187,INVX0,0.5,0.1566840277777778,0.0551944444444444,0.5,0.05859375,0.01595,2,9,18
35,U188,NAND2X0,0.2291666666666666,0.09226875,0.0555222222222222,0.09375,0.0322,0.01775,6,16,18
36,U189,INVX0,0.5,0.1566840277777778,0.0565588235294117,0.5,0.05859375,0.0134,2,9,17
37,U190,NOR2X0,0.2291666666666666,0.0901533333333333,0.0565705882352941,0.09375,0.0327,0.015,6,15,17
38,U191,NAND3X0,0.28125,0.1086318181818181,0.0477,0.28125,0.0889,0.02775,6,22,32
39,U192,NAND2X0,0.5,0.0846354166666666,0.0777777777777777,0.5,0.05859375,0.01495,2,9,18
40,U193,INVX0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
41,U194,INVX0,0.2625,0.1271933333333333,0.0833,0.1875,0.0591,0.0301,5,15,17
42,U195,AO221X1,0.146484375,0.0840588235294117,0.0832647058823529,0.1171875,0.0294,0.0316,8,17,17
