,GATE_NAME,GATE_TYPE,INF-LIM2_MEAN,INF-LIM4_MEAN,INF-LIM2_NORM_MEAN,INF-LIM4_NORM_MEAN,INF-LIM2_MEDIAN,INF-LIM4_MEDIAN,INF-LIM2_NORM_MEDIAN,INF-LIM4_NORM_MEDIAN,INF-LIM2_SIZE,INF-LIM4_SIZE
0,U304,AND2X4,11.083333333333353,0.31818181818181873,0.9172413793103449,0.2413793103448279,inf,inf,1.0,inf,26,7
1,U303,AND2X4,11.083333333333353,0.31818181818181873,0.9172413793103449,0.2413793103448279,inf,inf,1.0,inf,26,7
2,U302,ISOLORX8,inf,inf,1.0,1.0,inf,inf,1.0,inf,20,2
3,U297,NAND4X1,15.0,0.0,0.9375,0.0,15.0,0.0,0.9375,0.0,4,0
4,U296,OR4X4,0.88125,0.26666666666666683,7.421052631578946,0.21052631578947378,inf,inf,inf,inf,3,-2
5,U295,NAND4X1,0.20000000000000073,0.0,0.16666666666666718,0.0,0.0,0.0,0.0,0.0,1,0
6,U294,NAND4X1,0.5686274509803922,0.06506238859179936,0.36250000000000004,0.06108786610878573,0.391304347826087,0.6086956521739131,0.28125,1.5555555555555556,4,-1
7,U293,NAND4X1,1.0225733634311531,0.3418996353533593,0.5055803571428577,0.2547877846790887,1.5098039215686274,0.45098039215686275,0.6015625,0.3108108108108108,6,1
8,U292,NAND4X1,1.65160075329567,0.08851224105461342,0.6228693181818183,0.0971074380165283,13.222222222222221,5.666666666666667,0.9296875,0.85,7,2
9,U230,XOR2X2,0.5238095238095237,0.0,0.34374999999999994,0.0,1.0,0.0,0.5,0.0,1,0
10,U229,NOR2X4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,U228,XOR2X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,U227,XOR2X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
13,U226,XOR2X2,0.5238095238095237,0.0,0.34374999999999994,0.0,1.0,0.0,0.5,0.0,1,0
14,U225,NOR2X4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15,U224,XOR2X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
16,U223,XOR2X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,U222,XOR2X2,0.5238095238095237,0.0,0.34374999999999994,0.0,1.0,0.0,0.5,0.0,1,0
18,U221,NOR2X4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,U220,XOR2X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20,U219,XOR2X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
21,U218,XOR2X2,0.5238095238095237,0.0,0.34374999999999994,0.0,1.0,0.0,0.5,0.0,1,0
22,U217,NOR2X4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23,U216,XOR2X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
24,U215,XOR2X2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,U214,INVX32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
