,GATE_NAME,GATE_TYPE,LIM2_MEAN,LIM4_MEAN,INF_MEAN,LIM2_MEDIAN,LIM4_MEDIAN,INF_MEDIAN,LIM2_SIZE,LIM4_SIZE,INF_SIZE
0,U65,INVX2,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
1,U66,AO22X1,0.375,0.28125,0.28125,0.375,0.21875,0.21875,4,6,6
2,U67,AO22X1,0.375,0.28125,0.28125,0.375,0.21875,0.21875,4,6,6
3,U68,AO22X1,0.375,0.28125,0.28125,0.375,0.21875,0.21875,4,6,6
4,U69,AO22X1,0.375,0.28125,0.28125,0.375,0.21875,0.21875,4,6,6
5,U70,AO22X1,0.375,0.28125,0.28125,0.375,0.21875,0.21875,4,6,6
6,U71,AO22X1,0.375,0.28125,0.28125,0.375,0.21875,0.21875,4,6,6
7,U72,AO22X1,0.375,0.28125,0.28125,0.375,0.21875,0.21875,4,6,6
8,U73,AO22X1,0.375,0.28125,0.28125,0.375,0.21875,0.21875,4,6,6
9,U74,AO22X1,0.3,0.2321428571428571,0.07515,0.25,0.1875,0.00075,5,7,22
10,U75,AO222X1,0.2678571428571428,0.1579026442307692,0.0846083333333333,0.28125,0.19140625,0.0007,7,13,24
11,U76,AO222X1,0.2678571428571428,0.1579026442307692,0.084325,0.28125,0.19140625,0.0008,7,13,24
12,U77,AO222X1,0.2678571428571428,0.1579026442307692,0.0846666666666666,0.28125,0.19140625,0.00075,7,13,24
13,U78,AO222X1,0.2678571428571428,0.1579026442307692,0.0846958333333333,0.28125,0.19140625,0.0005499999999999,7,13,24
14,U79,AO222X1,0.2678571428571428,0.1579026442307692,0.0851333333333333,0.28125,0.19140625,0.0006,7,13,24
15,U80,AO222X1,0.2678571428571428,0.1579026442307692,0.081228,0.28125,0.19140625,0.0006,7,13,25
16,U81,AO222X1,0.2678571428571428,0.1579026442307692,0.08156,0.28125,0.19140625,0.0005,7,13,25
17,U82,NOR2X0,0.25,0.106640625,0.0496727272727272,0.25,0.029296875,0.0002,4,10,22
18,U83,NOR2X0,0.4166666666666667,0.1341145833333333,0.0569333333333333,0.25,0.17578125,0.0008,3,9,21
19,U84,NOR2X0,0.325,0.1094666666666666,0.0784619047619047,0.375,0.0013,0.0013,5,15,21
20,U85,MUX21X1,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
21,U86,NAND3X0,0.203125,0.1875,0.0636166666666666,0.109375,0.1171875,0.0012,7,9,24
22,U87,INVX0,0.4166666666666667,0.1495535714285714,0.0533105263157894,0.25,0.015625,0.0009,3,7,19
23,U88,NAND3X0,0.25,0.125,0.125,0.25,0.125,0.125,3,4,4
24,U89,NAND3X0,0.25,0.25,0.25,0.25,0.25,0.25,3,3,3
25,U90,AO21X1,0.2625,0.17421875,0.0767545454545454,0.1875,0.1015625,0.0007,5,10,22
26,U91,AO21X1,0.4166666666666667,0.0775991586538461,0.0526947368421052,0.25,0.0009765625,0.001,3,13,19
27,U92,NOR2X0,0.1770833333333333,0.0574888888888888,0.0573388888888888,0.03125,0.0023499999999999,0.002,6,18,18
28,U93,INVX0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
29,U94,INVX0,0.4166666666666667,0.5,0.5,0.25,0.5,0.5,3,3,3
30,U95,NOR2X0,0.3125,0.3125,0.3125,0.25,0.25,0.25,4,4,4
31,U96,NOR2X0,0.3125,0.3125,0.3125,0.25,0.25,0.25,4,4,4
32,U97,NOR2X0,0.3125,0.3125,0.3125,0.25,0.25,0.25,4,4,4
33,U98,NOR2X0,0.3125,0.3125,0.3125,0.25,0.25,0.25,4,4,4
34,U99,NOR2X0,0.3125,0.3125,0.3125,0.25,0.25,0.25,4,4,4
35,U100,NOR2X0,0.3125,0.3125,0.3125,0.25,0.25,0.25,4,4,4
36,U101,NOR2X0,0.3125,0.3125,0.3125,0.25,0.25,0.25,4,4,4
37,U102,NOR2X0,0.3125,0.3125,0.3125,0.25,0.25,0.25,4,4,4
38,U103,OA21X1,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
39,U104,NAND2X0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,0.25,0.25,3,3,3
40,U105,NAND2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
41,U106,AO21X1,0.325,0.1866319444444444,0.0784047619047619,0.375,0.125,0.0012,5,9,21
42,U107,MUX21X1,0.325,0.1078404017857142,0.076215,0.375,0.0009765625,0.00095,5,14,20
43,U108,AO21X1,0.1875,0.0571944444444444,0.0570111111111111,0.03125,0.0019,0.00165,6,18,18
44,U109,AND4X1,0.0078125,0.0078125,0.0076125,0.0078125,0.0079,0.0075,10,16,16
45,U110,NOR4X0,0.125,0.125,0.125,0.125,0.125,0.125,8,8,8
46,U111,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
47,U112,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
48,U113,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
49,U114,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
50,U115,NOR2X0,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4
51,U116,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
52,U117,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
53,U118,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
54,U119,XOR2X1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2
55,U120,INVX0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
56,U121,NAND2X0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
